IMI;FINANCIAMENTO_UNIAO_EUROPEIA;TAXAS_MULTAS_OUTROS_IMPOSTOS;DSC_AUTARQUIA;IMPOSTOS_MUNICIPAIS;IUC;TRANSFERENCIAS_ORCAMENTO_ESTADO;ldk;IMT;CODIGO_PERIODO;CODIGOINE;VENDA_BENS_SERVICOS;DERRAMA_IRC;RECEITAS_TOTAIS;OUTRAS_RECEITAS
2763733.63;820778.82;752092.14;ALCOCHETE;5302141.66;438051.01;2738951;T4_1502;959750.31;T4;1502;2629525.25;388514.57;11941365.03;449968.3
228822.02;1609795.63;22983.09;ALCOUTIM;326284.02;50497.96;5760990;T4_0802;23980.95;T4;0802;513690.56;0;8993684.61;782924.4
5461690.63;739583.08;405265.41;ALENQUER;8768399.03;959408.95;6347700;T4_1101;1308132.37;T4;1101;2378221.55;633901.67;23148922.35;4915018.69
359054.5;1061697;225080.59;ALFÂNDEGA DA FÉ;817331.91;92694.12;5306593;T4_0401;65804.38;T4;0401;1371524.41;74698.32;26088007.73;17530861.41
894057.68;58594.43;119496.67;ALIJÓ;1618344.67;219161.62;6507866;T4_1701;347873.76;T4;1701;1743439.36;37754.94;10301437.01;373192.55
1509116.26;559331.45;222590.35;ALJEZUR;2253026.18;142947.87;4387883;T4_0803;378371.7;T4;0803;1881775.72;0;9397470.84;315454.49
660330.76;2531649.7;114527.36;ALJUSTREL;1521707.13;207214.5;5465030;T4_0201;116170.92;T4;0201;1281682.13;423463.59;12518135.57;1718066.61
26131181.5;1545269.05;2269638.39;ALMADA;40014499.11;3818336.84;16177891;T4_1503;5846958.94;T4;1503;11688908.28;1948383.44;77445956.37;8019388.93
624934.55;1077731.05;489999.25;ALMEIDA;1329154.4;151091.17;7043009;T4_0902;63129.43;T4;0902;1280643.54;0;10957191.1;226653.11
2099383.25;473103.21;189415.85;ALMEIRIM;3072776;504164.41;5341793;T4_1403;0;T4;1403;1802779.93;279812.49;13419750.13;2729297.99
360429.92;1724835.35;224074.66;ALMODÔVAR;842037.67;158100.85;7863101;T4_0202;77138.42;T4;0202;1058853.26;22293.82;12217902.89;729075.61
597961.29;1093304.73;70406.89;ALPIARÇA;1003933.6;166348.41;3105118;T4_1404;115524.41;T4;1404;819230.59;53692.6;6998668.02;977081.1
276831.41;232976.12;23661.12;ALTER DO CHÃO;451968.76;62590.42;3969072;T4_1201;84429.18;T4;1201;730751.46;4456.63;5641765.9;256997.56
637209.33;1447499.46;72161.26;ALVAIÁZERE;932034.88;152316.07;4345429;T4_1002;70348.22;T4;1002;1311999.5;0;10138848.5;2101885.66
166220.56;100262.8;17216.6;ALVITO;309403.41;45405.6;3060520;T4_0203;80560.65;T4;0203;451148.15;0;4255170.26;333835.9
18221646.44;947943.01;1511031.03;AMADORA;28595696.92;3616588.66;18268389;T4_1115;2906478.31;T4;1115;11349699.55;2339952.48;74200232.12;15038503.64
