codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;despesatotal
1508;7232521.01;4236855.61;2484238.56;48894.02;462532.82;50000;13706.45;0;263079.63;461187.35;119199.54;8139693.98
612;1457252.89;618086.5;654217.25;982.89;183966.25;0;63947.54;53016.13;90103.07;189096.61;45151.61;1898567.85
1310;7553996.1;3321936.8;3468031.5;182349.06;581678.74;46361.37;6378272.56;216755.51;9709854.56;1591588.82;1125279.83;26622108.75
1605;1337033.18;672784.69;491851.03;53044.02;119353.44;0;759035.58;470694.03;995911.41;477097.69;653769.18;4693541.07
1013;792543.24;375190.63;303022.27;9319.17;105011.17;1000;45853.33;0;54434.72;37820.39;73532.21;1005183.89
613;1510789.44;611604.65;786821.59;680.37;111682.83;1662.8;24637.84;101127.48;104947.41;84988.82;115594.27;1943748.06
1311;4439816.16;2460907.12;1405220.1;79931.63;493757.31;143698.66;689467.33;433447.49;825497.93;612675.22;783921.24;7928524.03
1811;824257.06;471175.76;245952.05;983.26;106145.99;49.25;1433.57;12273.99;156907.03;28414.54;74868.5;1098203.94
507;1087633.94;466685.44;539420.71;22329.96;59197.83;0;140166.41;90614.9;240773.48;208417.3;185903.87;1953509.9
1812;815663.42;376357.79;348866.23;0;90439.4;69275.92;185024.41;12546;0;510864.98;24473.89;1617848.62
614;935117.85;447053.82;335995.79;16795.34;135272.9;0;19650.05;7057.28;65373.87;20431.4;116750.06;1164380.51
1014;3052484.07;1684557.78;1009628.19;47732.96;310565.14;0;37784.56;34225.32;15052.06;100226.11;225183.75;3464955.87
1708;2122341.58;1055862.53;767288.21;56362.47;242828.37;5289.18;67512;324555.9;175263.98;152361.87;162806.85;3010131.36
910;1620786.67;614935.58;557638.26;27581.8;420631.03;17624.95;95766.44;37702.04;223470.79;20262.99;266111.22;2281725.1
1015;4212596.27;1587262.53;1787609.19;19946.14;817778.41;303156.08;304102.6;161180.04;364761.23;696215.08;413410.76;6455422.06
4203;4704601.03;2466840.45;1385366.86;71196.11;781197.61;5400;444851.62;7164.74;244358.2;166354.1;272607.33;5845337.02
3105;930523.62;357654.97;453095.59;9482.65;110290.41;0;5418;2746.85;3084.16;51767.23;117850.99;1111390.85
1606;2093857.22;989535.24;740401.09;55292.4;308628.49;11787.1;265515.78;3264.88;62866.49;158906.96;297755.56;2893953.99
1607;4485620.78;1839603.78;1520204.54;8336.69;1117475.77;797053.99;676548.23;108927.54;162109.44;539885.67;210375.13;6980520.78
1213;1995877.51;1010792.85;633329.52;839.22;350915.92;28400.63;699185.9;112282.83;26751.69;467172.05;75040.51;3404711.12
1214;1630604.93;1345064.16;275835.3;3478.88;6226.59;9810.88;0;4761.03;1911.59;106286.66;48335.11;1801710.2
709;1709472.11;820450.97;563713.15;10138.46;315169.53;0;263143.8;46846.5;109120.89;91199.78;161477.31;2381260.39
811;5488840.21;2983974.11;560107.96;106936.67;1837821.47;0;615069.48;21797.03;0;46507.86;84030.56;6256245.14
1312;22301946.52;13246532.39;5292361.89;823629.05;2939423.19;2288586.85;282117.62;0;9750.79;57325.51;1955628.15;26895355.44
1016;1958558.16;1093988.48;771860.51;10138.28;82570.89;0;0;21011.27;62766.09;11851.39;152242.61;2206429.52
